filename,date,frame_number
000f234e-a75b-43fa-a360-24f1c0e19fdd.jpg,2022-03-01,388
0019efc9-1b8a-43e2-adbe-566ecb7b1f86.jpg,2002-01-02,35
001c1631-1399-4173-a9da-3bb98b089ccd.jpg,2020-02-02,376
0034267e-c455-4516-973d-8e2819224760.jpg,2022-02-22,18
0039c480-13da-42c0-8c69-0a0f543a2189.jpg,2022-03-15,36
003d8cf5-b22c-455b-8c48-a99389a5a44a.jpg,2022-03-04,646
003df798-a723-44c6-8e9d-eaaad3fb98ad.jpg,2020-02-02,502
0045d440-cfe9-46c8-a302-30dbb064de9d.jpg,2022-03-02,304
004c70a1-5dcd-41b3-ad66-457c06db3ea8.jpg,2022-03-01,14
00535377-de70-4a1a-88a5-660342bc04ec.jpg,2020-02-02,79
0073e44d-a763-4ac9-87ed-c53957a3b89a.jpg,2022-03-15,35
007e0457-f69b-410f-8b32-83999ed8aec6.jpg,2022-03-15,50
008eb2d8-894f-44a8-9a2d-193159820ace.jpg,2022-03-01,208
00911a2e-d586-4ab7-b7f4-f506268f2a98.jpg,2020-02-02,853
00c7aa15-810a-4163-ab1a-8cdcb45927f1.jpg,2022-03-01,105
00d98cb8-8902-4cca-a0ce-5da1e6591dca.jpg,2022-03-15,69
00e65e36-1de8-4de4-974c-712abf460d02.jpg,2020-02-02,300
00e7881e-da6c-48d9-9ded-ce7c5fa30113.jpg,2020-02-02,756
01012383-da98-4fa1-b6f8-577ee03a26ad.jpg,2022-03-02,43
010986c0-2daf-4218-8508-dc1fed90f0ee.jpg,2022-03-02,251
